x,y
121.54698654681903,16.37850347250824
121.55698979357973,16.35886983337797
121.56971830329871,16.336975066751663
121.5850741419032,16.312869029442776
121.60295937532045,16.286601578264772
121.62327606947757,16.258222570031094
121.64592629030187,16.227781861555208
121.67081210372048,16.19532930965057
121.69783557566068,16.16091477113063
121.72689877204965,16.12458810280886
121.75790375881468,16.086399161498708
121.79075260188283,16.04639780401363
121.82534736718146,16.004633887167085
121.86159012063771,15.96115726777252
121.89938292817881,15.916017802643406
121.93862785573194,15.86926534859319
121.97922696922441,15.820949762435337
122.0210823345833,15.771120900983291
122.06409601773588,15.719828621050517
122.10817008460941,15.667122779450477
122.15320660113106,15.61305323299662
122.19910763322802,15.557669838502404
122.24577524682759,15.501022452781287
122.29311150785692,15.443160932646729
122.34101848224319,15.384135134912178
122.38939823591366,15.323994916391097
122.43815283479552,15.26279013389694
122.487184344816,15.200570644243165
122.53639483190234,15.13738630424323
122.58568636198173,15.073286970710594
122.63496100098133,15.008322500458707
122.68412081482845,14.94254275030103
122.7330678694502,14.875997577051015
122.78170423077385,14.808736837522124
122.82993196472663,14.740810388527814
122.87765313723571,14.67226808688154
122.92476981422834,14.603159789396758
122.97118406163172,14.533535352886926
123.01679794537304,14.463444634165496
123.06151353137956,14.392937490045934
123.10523288557845,14.32206377734169
123.14785807389693,14.250873352866224
123.18929116226224,14.179416073432987
123.22943421660156,14.107741795855445
123.26818930284216,14.035900376947048
123.30545848691116,13.963941673521251
123.34114383473582,13.891915542391514
123.37514741224338,13.819871840371297
123.40737128536105,13.747860424274052
123.43771752001601,13.675931150913241
123.46608818213548,13.60413387710231
123.49238533764665,13.532518459654725
123.5165110524768,13.461134755383943
123.53836739255311,13.390032621103416
123.55785642380275,13.319261913626605
123.574880212153,13.24887248976696
123.58934082353105,13.178914206337948
123.60114032386409,13.109436920153017
123.61018077907937,13.040490488025629
123.61636425510406,12.972124766769234
123.61959281786541,12.904389613197296
123.61976853329062,12.83733488412327
123.61679346730693,12.77101043636061
123.61056968584148,12.705466126722776
123.60099925482155,12.640751812023222
123.58798424017431,12.576917349075405
123.57142670782702,12.514012594692785
123.55122872370688,12.452087405688816
123.52729235374107,12.391191638876954
123.49951966385683,12.331375151070656
123.46781271998135,12.27268779908338
123.4321256562043,12.21516474129834
123.39272154574063,12.158753925028256
123.34997696683172,12.103371256015047
123.30426867218067,12.048932590751445
123.25597341449067,11.9953537857302
123.2054679464648,11.942550697444046
123.15312902080626,11.890439182385723
123.09933339021813,11.838935097047973
123.04445780740362,11.78795429792354
122.98887902506577,11.737412641505152
122.93297379590783,11.687225984285565
122.87711887263282,11.637310182757508
122.82169100794395,11.587581093413721
122.76706695454433,11.53795457274695
122.71362346513716,11.488346477249937
122.66173729242551,11.438672663415415
122.61178518911252,11.388848987736125
122.56414390790134,11.33879130670481
122.51919020149512,11.288415476814212
122.47730082259699,11.237637354557064
122.43885252391009,11.186372796426113
122.40422205813755,11.134537658914097
122.37378617798248,11.082047798513752
122.34792163614807,11.028819071717827
122.32700518533741,10.974767335019054
122.31141357825372,10.919808444910178
122.30152356760003,10.863858257883935
122.29771175876544,10.806832664227574
122.3001896266756,10.748685435880224
122.30868704887943,10.68948082532961
122.32284658183916,10.629303116903397
122.34231078201695,10.568236594929257
122.3667222058749,10.506365543734846
122.39572340987523,10.443774247647838
122.42895695048014,10.3805469909959
122.46606538415175,10.31676805810669
122.50669126735225,10.252521733307878
122.55047715654385,10.187892300927135
122.59706560818869,10.122964045292125
122.64609917874894,10.057821250730512
122.69722042468676,9.99254820156996
122.75007190246438,9.927229182138143
122.8042961685439,9.861948476762722
122.85953577938753,9.796790369771362
122.91543329145742,9.73183914549173
122.97163126121578,9.667179088251496
123.02777224512475,9.602894482378321
123.08349879964652,9.539069612199874
123.13845348124322,9.475788762043821
123.19227884637709,9.413136216237833
